Date,vader_score,date,NIFTY_50_Close,SMA_20,RSI
2018-03-14,0.0,14-03-2018,10410.90039,10407.656275,45.58020799855455
2018-03-15,0.0,15-03-2018,10360.15039,10396.821313999999,45.48418638194979
2018-03-16,0.0,16-03-2018,10195.15039,10383.831323499999,42.44327858599562
2018-03-19,0.0,19-03-2018,10094.25,10362.7488285,36.89994756871661
2018-03-20,-0.17,20-03-2018,10124.34961,10346.218798999998,38.98383473649296
2018-03-22,-0.325633333,22-03-2018,10114.75,10324.968799,32.47890208188372
2018-03-23,0.0129,23-03-2018,9998.049805,10299.82626975,29.18819689835962
2018-03-26,0.5267,26-03-2018,10130.65039,10283.743799250002,36.31907048750013
2018-03-27,0.0,27-03-2018,10184.15039,10274.93129925,42.96049430299978
2018-03-28,0.308033333,28-03-2018,10113.7002,10260.74379925,44.36007784343969
2018-04-01,0.0,01-04-2018,10148.92529,10249.05505375,49.769024091526695
2018-04-02,-0.28595,02-04-2018,10211.7998,10235.092553749999,48.61817510476272
2018-04-03,0.03302,03-04-2018,10245.0,10222.700073249998,52.10693065118196
2018-04-04,0.0,04-04-2018,10128.40039,10204.52260725,34.97914050382107
2018-04-08,-0.7351,08-04-2018,10186.7002,10195.91513675,39.1774361223085
2018-04-09,-0.20095,09-04-2018,10379.34961,10202.42011725,50.815115601546445
2018-04-10,0.0,10-04-2018,10402.25,10214.82260725,59.99901940865946
2018-04-11,0.0,11-04-2018,10417.15039,10223.54760725,67.00192323164421
2018-04-12,-0.4404,12-04-2018,10458.65039,10236.55886225,67.39338103427042
2018-04-13,-0.267233333,13-04-2018,10480.59961,10239.24636225,68.79333026900096
2018-04-14,0.0,14-04-2018,10469.625,10242.18259275,77.17624148520139
2018-04-15,-0.3612,15-04-2018,10480.59961,10248.20505375,73.4551031796276
2018-04-16,0.17,16-04-2018,10528.34961,10264.865014750001,73.24891127033577
2018-04-17,0.4404,17-04-2018,10548.7002,10287.58752475,81.51495930353778
2018-04-19,0.0,19-04-2018,10565.2998,10309.635034249999,81.00225465116287
2018-04-20,0.133966667,20-04-2018,10564.0498,10332.10002425,78.87775872979783
2018-04-22,-0.0516,22-04-2018,10564.6748,10360.431273999999,77.68594591826945
2018-04-23,-0.4215,23-04-2018,10584.7002,10383.133764499999,97.45717427656601
2018-04-24,0.44015,24-04-2018,10614.34961,10404.6437255,97.29603029321294
2018-04-25,0.0,25-04-2018,10570.5498,10427.486205500001,81.52527643699358
2018-04-26,0.0258,26-04-2018,10617.7998,10450.929931,82.89845769811544
2018-04-27,0.2014,27-04-2018,10692.2998,10474.954931,85.53081786914106
2018-04-30,-0.00155,30-04-2018,10739.34961,10499.6724115,85.73527772486038
